20,Male,2.5,3.5,2.5,3.5,3.5,35,3.181818182
20,Male,4,3,3,3,3,35,3.181818182
20,Female,2.5,3.5,3.5,3.5,3.5,37,3.363636364
21,Male,1.5,3.5,3,3,4.5,36,3.272727273
20,Male,2,2.5,3.5,2.5,4,32,2.909090909
22,Male,2,3.5,3,3.5,3.5,35,3.181818182
20,Male,2.5,3.5,3,3,3.5,34,3.090909091
20,Female,3,3.5,3,3,4,37,3.363636364
19,Male,4,3.5,4,2,3.5,38,3.454545455
20,Male,4.5,3.5,3,3,3,38,3.454545455
21,Male,2,3.5,3,4,3.5,35,3.181818182
20,Female,4.5,4.5,3.5,2.5,2,36,3.272727273
20,Female,2,3,3,3,3,31,2.818181818
20,Male,1.5,3,3.5,2.5,2,28,2.545454545
21,Female,3,2,4.5,3.5,4.5,39,3.545454545
20,Male,3,4.5,2.5,2.5,3,35,3.181818182
21,Male,3,3,3,2.5,3,32,2.909090909
20,Male,4.5,4,3,2.5,2.5,36,3.272727273
20,Male,3.5,3,3,3.5,3.5,36,3.272727273
21,Male,4.5,3,3,3.5,3.5,38,3.454545455
20,Male,2.5,3,2.5,2.5,3.5,31,2.818181818
20,Male,4.5,4,3.5,3.5,4,43,3.909090909
20,Male,2,2.5,4.5,2.5,4,34,3.090909091
20,Female,3,3.5,3.5,2,3,32,2.909090909
20,Male,2,3.5,4,3,4,36,3.272727273
19,Male,3,2.5,3,3.5,3.5,34,3.090909091
20,Male,3,4,4,2.5,4,40,3.636363636
20,Male,2,3,3.5,3.5,3.5,34,3.090909091
20,Male,2.5,3.5,4,3,3,36,3.272727273
20,Male,4.5,3.5,3,4,3.5,41,3.727272727
20,Male,4,3.5,3,2,2.5,32,2.909090909
20,Male,2,4,3,1,3.5,31,2.818181818
20,Male,3.5,3,3,2.5,4,35,3.181818182
20,Female,1.5,3,3.5,3,3,31,2.818181818
20,Female,3.5,3.5,3,2.5,3.5,36,3.272727273
20,Male,2.5,3,3,3.5,3.5,35,3.181818182
21,Male,3.5,3,3,3.5,4,38,3.454545455
20,Male,3.5,3,3,2.5,3.5,34,3.090909091
20,Male,3,4.5,4,2,2.5,34,3.090909091
21,Male,3,3,2.5,3.5,3.5,36,3.272727273
20,Male,3.5,3,4,1,2,29,2.636363636
20,Male,2.5,2,4,2,2.5,30,2.727272727
20,Female,4.5,3.5,3,3,3,38,3.454545455
20,Male,3.5,3,3.5,3,3.5,36,3.272727273
21,Female,4,3,4.5,3,2.5,37,3.363636364
21,Male,2,4,4,2.5,3.5,36,3.272727273
20,Male,4,3.5,3,3,4,39,3.545454545
20,Female,4,3,2.5,1.5,2,29,2.636363636
19,Female,4.5,3.5,3.5,2.5,3,37,3.363636364
20,Male,4.5,4,1.5,2.5,3,35,3.181818182
21,Male,3,3.5,3,2,2,31,2.818181818
20,Female,3,2.5,2.5,3,3.5,32,2.909090909
20,Female,2.5,3.5,3.5,2.5,3.5,35,3.181818182
21,Male,4,3,2.5,2.5,3,33,3
20,Female,3,3.5,3.5,3,3.5,37,3.363636364
20,Female,4.5,3.5,3,2.5,3.5,37,3.363636364
21,Female,4.5,3,3.5,2.5,3,37,3.363636364
20,Male,2.5,2.5,5,1.5,3.5,32,2.909090909
20,Female,4.5,3.5,3,2.5,3.5,38,3.454545455
20,Female,2,3,3,2.5,3.5,32,2.909090909
22,Male,2,4.5,1.5,2,3.5,29,2.636363636
20,Male,2.5,3.5,2.5,3,3,32,2.909090909
20,Male,4.5,2,3.5,4.5,4,41,3.727272727
21,Female,4,3,3.5,2.5,4,37,3.363636364
21,Male,3,3,3.5,3.5,3.5,37,3.363636364
