20,2.5,3.5,2.5,3.5,3.5,35,3.181818182
20,4,3,3,3,3,35,3.181818182
20,2.5,3.5,3.5,3.5,3.5,37,3.363636364
21,1.5,3.5,3,3,4.5,36,3.272727273
20,2,2.5,3.5,2.5,4,32,2.909090909
22,2,3.5,3,3.5,3.5,35,3.181818182
20,2.5,3.5,3,3,3.5,34,3.090909091
20,3,3.5,3,3,4,37,3.363636364
19,4,3.5,4,2,3.5,38,3.454545455
20,4.5,3.5,3,3,3,38,3.454545455
21,2,3.5,3,4,3.5,35,3.181818182
20,4.5,4.5,3.5,2.5,2,36,3.272727273
20,2,3,3,3,3,31,2.818181818
20,1.5,3,3.5,2.5,2,28,2.545454545
21,3,2,4.5,3.5,4.5,39,3.545454545
20,3,4.5,2.5,2.5,3,35,3.181818182
21,3,3,3,2.5,3,32,2.909090909
20,4.5,4,3,2.5,2.5,36,3.272727273
20,3.5,3,3,3.5,3.5,36,3.272727273
21,4.5,3,3,3.5,3.5,38,3.454545455
20,2.5,3,2.5,2.5,3.5,31,2.818181818
20,4.5,4,3.5,3.5,4,43,3.909090909
20,2,2.5,4.5,2.5,4,34,3.090909091
20,3,3.5,3.5,2,3,32,2.909090909
20,2,3.5,4,3,4,36,3.272727273
19,3,2.5,3,3.5,3.5,34,3.090909091
20,3,4,4,2.5,4,40,3.636363636
20,2,3,3.5,3.5,3.5,34,3.090909091
20,2.5,3.5,4,3,3,36,3.272727273
20,4.5,3.5,3,4,3.5,41,3.727272727
20,4,3.5,3,2,2.5,32,2.909090909
20,2,4,3,1,3.5,31,2.818181818
20,3.5,3,3,2.5,4,35,3.181818182
20,1.5,3,3.5,3,3,31,2.818181818
20,3.5,3.5,3,2.5,3.5,36,3.272727273
20,2.5,3,3,3.5,3.5,35,3.181818182
21,3.5,3,3,3.5,4,38,3.454545455
20,3.5,3,3,2.5,3.5,34,3.090909091
20,3,4.5,4,2,2.5,34,3.090909091
21,3,3,2.5,3.5,3.5,36,3.272727273
20,3.5,3,4,1,2,29,2.636363636
20,2.5,2,4,2,2.5,30,2.727272727
20,4.5,3.5,3,3,3,38,3.454545455
20,3.5,3,3.5,3,3.5,36,3.272727273
21,4,3,4.5,3,2.5,37,3.363636364
21,2,4,4,2.5,3.5,36,3.272727273
20,4,3.5,3,3,4,39,3.545454545
20,4,3,2.5,1.5,2,29,2.636363636
19,4.5,3.5,3.5,2.5,3,37,3.363636364
20,4.5,4,1.5,2.5,3,35,3.181818182
21,3,3.5,3,2,2,31,2.818181818
20,3,2.5,2.5,3,3.5,32,2.909090909
20,2.5,3.5,3.5,2.5,3.5,35,3.181818182
21,4,3,2.5,2.5,3,33,3
20,3,3.5,3.5,3,3.5,37,3.363636364
20,4.5,3.5,3,2.5,3.5,37,3.363636364
21,4.5,3,3.5,2.5,3,37,3.363636364
20,2.5,2.5,5,1.5,3.5,32,2.909090909
20,4.5,3.5,3,2.5,3.5,38,3.454545455
20,2,3,3,2.5,3.5,32,2.909090909
22,2,4.5,1.5,2,3.5,29,2.636363636
20,2.5,3.5,2.5,3,3,32,2.909090909
20,4.5,2,3.5,4.5,4,41,3.727272727
21,4,3,3.5,2.5,4,37,3.363636364
21,3,3,3.5,3.5,3.5,37,3.363636364
